ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	vlan	inner_vlan
1476748500.078532	CBL4VB2UweysLhiTM8	172.17.3.200	19847	155.19.62.150	9340	tcp	http	0.002028	55	2158	SF	T	F	0	ShAaDdfF	7	427	7	2530	(empty)	365	-
1476748795.077493	C0uASG3qfmhpq5FbT4	172.17.3.200	63858	155.19.62.150	9490	tcp	http	0.001892	55	2158	RSTO	T	F	0	ShADadfR	7	427	6	2478	(empty)	365	-
1476748500.078276	CdXxrm1ewsgKZPauO3	172.17.3.200	19247	155.19.62.149	9190	tcp	-	0.002353	55	0	SH	T	F	0	SAFa	4	216	1	52	(empty)	365	-
1476748795.077573	C3DdEOWcntYPcDdgl	172.17.3.200	53714	155.19.62.87	9095	tcp	-	0.006796	410	1683068276	SF	T	F	0	ShADadtffF	8	834	16	2074	(empty)	361	-
1476748795.084974	CsM0F72fBNJkcssoRc	172.17.3.200	41155	155.19.62.150	9340	tcp	http	0.001835	55	2158	RSTO	T	F	0	ShADTadfRR	13	794	6	2478	(empty)	365	-
1476748790.095448	ClKVga1I1rBBWWq8b2	10.10.164.99	35581	214.3.88.60	53	udp	dns	0.000797	102	216	SF	T	F	0	Dd	2	158	2	272	(empty)	10	-
1476748795.095602	CGK3e73GSgoWqoRyze	155.19.62.83	8065	172.17.3.201	56034	tcp	-	-	-	-	RSTOS0	F	T	0	R	1	40	0	0	(empty)	361	-
1476748795.095443	CMD5Zy1JmFDQraqhxd	172.17.3.201	35091	155.19.62.84	9050	tcp	-	0.000388	0	0	REJ	T	F	0	Srr	1	60	2	80	(empty)	361	-
1476748790.096351	CFVwGUxOnQ5QluNFh	10.10.164.99	34500	214.3.88.60	53	udp	dns	0.000428	44	252	SF	T	F	0	Dd	1	72	2	308	(empty)	10	-
1476748795.096549	CuwKsE3BSICg9pfXcc	172.17.3.200	47895	155.19.62.84	9010	tcp	-	0.000257	0	0	REJ	T	F	0	Srr	1	60	2	80	(empty)	361	-
1476748790.096976	C7HKorkx8WoU56aKl	10.10.164.99	54013	214.3.88.60	53	udp	dns	0.000627	35	70	SF	T	F	0	Dd	1	63	2	126	(empty)	10	-
1476748790.098681	Ch55zH3y4oZI1OPfd1	10.10.164.99	56084	214.3.88.62	53	udp	dns	0.001635	35	35	SF	T	F	0	Dd	1	63	1	63	(empty)	10	-
1476748790.100412	CpEg0V2saLpBcPECOf	10.10.164.99	63451	214.3.88.60	53	udp	dns	0.000571	35	70	SF	T	F	0	Dd	1	63	2	126	(empty)	10	-
1476748790.101363	CeiS5w2ruaSM224ou8	10.10.164.99	47952	214.3.88.62	53	udp	dns	0.001284	35	35	SF	T	F	0	Dd	1	63	1	63	(empty)	136	-
1476748800.181941	CBPPeB2rpWZ8AifIi4	172.17.3.200	48301	155.19.62.148	9290	tcp	-	-	-	-	S0	T	F	0	S	1	60	0	0	(empty)	162	-
